( 0.000000e+000, 0.000000 )
( 3.500000e-010, 0.000000 )
( 4.000000e-010, 0.000000 )
( 7.500000e-010, 0.000000 )
( 8.000000e-010, 3.300000 )
( 1.150000e-009, 3.300000 )
( 1.200000e-009, 3.300000 )
( 1.550000e-009, 3.300000 )
( 1.600000e-009, 3.300000 )
( 1.950000e-009, 3.300000 )
( 2.000000e-009, 3.300000 )
( 2.350000e-009, 3.300000 )
( 2.400000e-009, 3.300000 )
( 2.750000e-009, 3.300000 )
( 2.800000e-009, 0.000000 )
( 3.150000e-009, 0.000000 )
( 3.200000e-009, 3.300000 )
( 3.550000e-009, 3.300000 )
( 3.600000e-009, 0.000000 )
( 3.950000e-009, 0.000000 )
( 4.000000e-009, 0.000000 )
( 4.350000e-009, 0.000000 )
( 4.400000e-009, 3.300000 )
( 4.750000e-009, 3.300000 )
( 4.800000e-009, 3.300000 )
( 5.150000e-009, 3.300000 )
( 5.200000e-009, 0.000000 )
( 5.550000e-009, 0.000000 )
( 5.600000e-009, 0.000000 )
( 5.950000e-009, 0.000000 )
( 6.000000e-009, 0.000000 )
( 6.350000e-009, 0.000000 )
( 6.400000e-009, 3.300000 )
( 6.750000e-009, 3.300000 )
( 6.800000e-009, 0.000000 )
( 7.150000e-009, 0.000000 )
( 7.200000e-009, 3.300000 )
( 7.550000e-009, 3.300000 )
( 7.600000e-009, 3.300000 )
( 7.950000e-009, 3.300000 )
( 8.000000e-009, 0.000000 )
( 8.350000e-009, 0.000000 )
( 8.400000e-009, 3.300000 )
( 8.750000e-009, 3.300000 )
( 8.800000e-009, 3.300000 )
( 9.150000e-009, 3.300000 )
( 9.200000e-009, 0.000000 )
( 9.550000e-009, 0.000000 )
( 9.600000e-009, 0.000000 )
( 9.950000e-009, 0.000000 )
( 1.000000e-008, 0.000000 )
( 1.035000e-008, 0.000000 )
( 1.040000e-008, 3.300000 )
( 1.075000e-008, 3.300000 )
( 1.080000e-008, 0.000000 )
( 1.115000e-008, 0.000000 )
( 1.120000e-008, 3.300000 )
( 1.155000e-008, 3.300000 )
( 1.160000e-008, 3.300000 )
( 1.195000e-008, 3.300000 )
( 1.200000e-008, 0.000000 )
( 1.235000e-008, 0.000000 )
( 1.240000e-008, 3.300000 )
( 1.275000e-008, 3.300000 )
( 1.280000e-008, 0.000000 )
( 1.315000e-008, 0.000000 )
( 1.320000e-008, 0.000000 )
( 1.355000e-008, 0.000000 )
( 1.360000e-008, 0.000000 )
( 1.395000e-008, 0.000000 )
( 1.400000e-008, 3.300000 )
( 1.435000e-008, 3.300000 )
( 1.440000e-008, 0.000000 )
( 1.475000e-008, 0.000000 )
( 1.480000e-008, 3.300000 )
( 1.515000e-008, 3.300000 )
( 1.520000e-008, 3.300000 )
( 1.555000e-008, 3.300000 )
( 1.560000e-008, 3.300000 )
( 1.595000e-008, 3.300000 )
