|-----|------------------------------|
| dB  |   tUI    |   EH   |    EW    |
|-----|------------------------------|
|  0  | 125.00ps | 0.490V | 103.94ps |
|  0  | 125.00ps | 0.490V | 104.00ps |
|  0  | 125.00ps | 0.491V | 104.06ps |
|  0  | 125.00ps | 0.491V | 104.11ps |
|  0  | 125.00ps | 0.491V | 104.17ps |
|  0  | 125.00ps | 0.491V | 104.22ps |
|  0  | 125.00ps | 0.492V | 104.28ps |
|  0  | 125.00ps | 0.492V | 104.33ps |
|  0  | 125.00ps | 0.492V | 104.39ps |
|  0  | 125.00ps | 0.492V | 104.44ps |
|  0  | 125.00ps | 0.493V | 104.50ps |
|  0  | 125.00ps | 0.493V | 104.56ps |
|  0  | 125.00ps | 0.493V | 104.61ps |
|  0  | 125.00ps | 0.493V | 104.67ps |
|  0  | 125.00ps | 0.494V | 104.72ps |
|  0  | 125.00ps | 0.494V | 104.78ps |
|  0  | 125.00ps | 0.494V | 104.83ps |
|  0  | 125.00ps | 0.494V | 104.89ps |
|  0  | 125.00ps | 0.494V | 104.94ps |
|  0  | 125.00ps | 0.495V | 105.00ps |
|  0  | 125.00ps | 0.495V | 105.05ps |
|  0  | 125.00ps | 0.495V | 105.11ps |
|  0  | 125.00ps | 0.495V | 105.17ps |
|  0  | 125.00ps | 0.496V | 105.22ps |
|  0  | 125.00ps | 0.496V | 105.28ps |
|  0  | 125.00ps | 0.496V | 105.33ps |
|  0  | 125.00ps | 0.496V | 105.39ps |
|  0  | 125.00ps | 0.497V | 105.44ps |
|  0  | 125.00ps | 0.497V | 105.50ps |
|  0  | 125.00ps | 0.497V | 105.55ps |
|  0  | 125.00ps | 0.497V | 105.61ps |
|  0  | 125.00ps | 0.497V | 105.66ps |
|  0  | 125.00ps | 0.498V | 105.72ps |
|  0  | 125.00ps | 0.498V | 105.77ps |
|  0  | 125.00ps | 0.498V | 105.83ps |
|  0  | 125.00ps | 0.498V | 105.88ps |
|  0  | 125.00ps | 0.499V | 105.94ps |
|  0  | 125.00ps | 0.499V | 105.99ps |
|  0  | 125.00ps | 0.499V | 106.05ps |
|  0  | 125.00ps | 0.499V | 106.10ps |
|  0  | 125.00ps | 0.499V | 106.16ps |
|  0  | 125.00ps | 0.500V | 106.21ps |
|  0  | 125.00ps | 0.500V | 106.27ps |
|  0  | 125.00ps | 0.500V | 106.32ps |
|  0  | 125.00ps | 0.500V | 106.38ps |
|  0  | 125.00ps | 0.501V | 106.43ps |
|  0  | 125.00ps | 0.501V | 106.49ps |
|  0  | 125.00ps | 0.501V | 106.54ps |
|  0  | 125.00ps | 0.501V | 106.60ps |
|  0  | 125.00ps | 0.502V | 106.65ps |
|  0  | 125.00ps | 0.502V | 106.71ps |
|  0  | 125.00ps | 0.502V | 106.76ps |
|  0  | 125.00ps | 0.502V | 106.82ps |
|  0  | 125.00ps | 0.502V | 106.87ps |
|  0  | 125.00ps | 0.503V | 106.91ps |
|  0  | 125.00ps | 0.503V | 106.96ps |
|  0  | 125.00ps | 0.503V | 107.01ps |
