|-----|------------------------------|
| dB  |   tUI    |   EH   |    EW    |
|-----|------------------------------|
|0.00  | 125.00ps | 0.476V | 107.25ps |
|0.05  | 125.00ps | 0.477V | 107.51ps |
|0.10  | 125.00ps | 0.478V | 107.77ps |
|0.15  | 125.00ps | 0.479V | 108.01ps |
|0.20  | 125.00ps | 0.481V | 108.23ps |
|0.25  | 125.00ps | 0.482V | 108.44ps |
|0.30  | 125.00ps | 0.483V | 108.66ps |
|0.35  | 125.00ps | 0.484V | 108.88ps |
|0.40  | 125.00ps | 0.486V | 109.09ps |
|0.45  | 125.00ps | 0.487V | 109.30ps |
|0.50  | 125.00ps | 0.488V | 109.52ps |
|0.55  | 125.00ps | 0.489V | 109.73ps |
|0.60  | 125.00ps | 0.490V | 109.95ps |
|0.65  | 125.00ps | 0.492V | 110.16ps |
|0.70  | 125.00ps | 0.493V | 110.37ps |
|0.75  | 125.00ps | 0.494V | 110.58ps |
|0.80  | 125.00ps | 0.495V | 110.80ps |
|0.85  | 125.00ps | 0.496V | 111.01ps |
|0.90  | 125.00ps | 0.497V | 111.22ps |
|0.95  | 125.00ps | 0.499V | 111.43ps |
|1.00  | 125.00ps | 0.500V | 111.64ps |
|1.05  | 125.00ps | 0.501V | 111.85ps |
|1.10  | 125.00ps | 0.502V | 112.06ps |
|1.15  | 125.00ps | 0.503V | 112.27ps |
|1.20  | 125.00ps | 0.504V | 112.48ps |
|1.25  | 125.00ps | 0.505V | 112.69ps |
|1.30  | 125.00ps | 0.506V | 112.90ps |
|1.35  | 125.00ps | 0.508V | 113.10ps |
|1.40  | 125.00ps | 0.509V | 113.31ps |
|1.45  | 125.00ps | 0.510V | 113.52ps |
|1.50  | 125.00ps | 0.511V | 113.73ps |
|1.55  | 125.00ps | 0.512V | 113.93ps |
|1.60  | 125.00ps | 0.513V | 114.14ps |
|1.65  | 125.00ps | 0.514V | 114.34ps |
|1.70  | 125.00ps | 0.515V | 114.55ps |
|1.75  | 125.00ps | 0.516V | 114.76ps |
|1.80  | 125.00ps | 0.517V | 114.97ps |
|1.85  | 125.00ps | 0.518V | 115.17ps |
|1.90  | 125.00ps | 0.519V | 115.38ps |
|1.95  | 125.00ps | 0.520V | 115.58ps |
|2.00  | 125.00ps | 0.521V | 115.79ps |
|2.05  | 125.00ps | 0.522V | 115.99ps |
|2.10  | 125.00ps | 0.523V | 116.20ps |
|2.15  | 125.00ps | 0.524V | 116.40ps |
|2.20  | 125.00ps | 0.525V | 116.61ps |
|2.25  | 125.00ps | 0.526V | 116.81ps |
|2.30  | 125.00ps | 0.527V | 117.01ps |
|2.35  | 125.00ps | 0.528V | 117.22ps |
|2.40  | 125.00ps | 0.529V | 117.42ps |
|2.45  | 125.00ps | 0.530V | 117.62ps |
|2.50  | 125.00ps | 0.531V | 117.82ps |
|2.55  | 125.00ps | 0.532V | 117.99ps |
|2.60  | 125.00ps | 0.533V | 118.03ps |
|2.65  | 125.00ps | 0.534V | 118.08ps |
|2.70  | 125.00ps | 0.535V | 118.04ps |
|2.75  | 125.00ps | 0.536V | 117.95ps |
|2.80  | 125.00ps | 0.537V | 117.86ps |
|2.85  | 125.00ps | 0.538V | 117.77ps |
|2.90  | 125.00ps | 0.539V | 117.68ps |
|2.95  | 125.00ps | 0.539V | 117.60ps |
|3.00  | 125.00ps | 0.540V | 117.52ps |
|3.05  | 125.00ps | 0.541V | 117.43ps |
|3.10  | 125.00ps | 0.542V | 117.35ps |
|3.15  | 125.00ps | 0.543V | 117.27ps |
|3.20  | 125.00ps | 0.544V | 117.18ps |
|3.25  | 125.00ps | 0.545V | 117.10ps |
|3.30  | 125.00ps | 0.546V | 117.02ps |
|3.35  | 125.00ps | 0.546V | 116.93ps |
|3.40  | 125.00ps | 0.545V | 116.85ps |
|3.45  | 125.00ps | 0.542V | 116.77ps |
|3.50  | 125.00ps | 0.540V | 116.68ps |
|3.55  | 125.00ps | 0.538V | 116.60ps |
|3.60  | 125.00ps | 0.535V | 116.52ps |
|3.65  | 125.00ps | 0.533V | 116.44ps |
|3.70  | 125.00ps | 0.530V | 116.35ps |
|3.75  | 125.00ps | 0.528V | 116.27ps |
|3.80  | 125.00ps | 0.526V | 116.19ps |
|3.85  | 125.00ps | 0.523V | 116.11ps |
|3.90  | 125.00ps | 0.521V | 116.02ps |
|3.95  | 125.00ps | 0.519V | 115.94ps |
|4.00  | 125.00ps | 0.516V | 115.86ps |
|4.05  | 125.00ps | 0.514V | 115.78ps |
|4.10  | 125.00ps | 0.512V | 115.70ps |
|4.15  | 125.00ps | 0.510V | 115.62ps |
|4.20  | 125.00ps | 0.507V | 115.53ps |
|4.25  | 125.00ps | 0.505V | 115.45ps |
|4.30  | 125.00ps | 0.503V | 115.37ps |
|4.35  | 125.00ps | 0.501V | 115.29ps |
|4.40  | 125.00ps | 0.499V | 115.21ps |
|4.45  | 125.00ps | 0.496V | 115.13ps |
