
|-----------------------------|------------------------------|
|    c0   |    c1   |    c2   |   tUI    |   EH   |    EW    |
|-----------------------------|------------------------------|
| 0.00000 | 1.00000 | 0.00000 | 125.00ps | 0.996V | 125.00ps |
| 0.00000 | 0.96875 |-0.03125 | 125.00ps | 0.936V | 124.21ps |
| 0.00000 | 0.93750 |-0.06250 | 125.00ps | 0.873V | 123.37ps |
| 0.00000 | 0.90625 |-0.09375 | 125.00ps | 0.811V | 122.48ps |
| 0.00000 | 0.87500 |-0.12500 | 125.00ps | 0.748V | 121.52ps |
| 0.00000 | 0.84375 |-0.15625 | 125.00ps | 0.686V | 120.49ps |
| 0.00000 | 0.81250 |-0.18750 | 125.00ps | 0.623V | 119.38ps |
| 0.00000 | 0.78125 |-0.21875 | 125.00ps | 0.561V | 118.18ps |
| 0.00000 | 0.75000 |-0.25000 | 125.00ps | 0.499V | 116.76ps |
| 0.00000 | 0.71875 |-0.28125 | 125.00ps | 0.436V | 114.81ps |
| 0.00000 | 0.68750 |-0.31250 | 125.00ps | 0.374V | 112.68ps |
|-0.03125 | 0.96875 | 0.00000 | 125.00ps | 0.936V | 124.21ps |
|-0.03125 | 0.93750 |-0.03125 | 125.00ps | 0.875V | 123.43ps |
|-0.03125 | 0.90625 |-0.06250 | 125.00ps | 0.813V | 122.59ps |
|-0.03125 | 0.87500 |-0.09375 | 125.00ps | 0.750V | 121.69ps |
|-0.03125 | 0.84375 |-0.12500 | 125.00ps | 0.688V | 120.73ps |
|-0.03125 | 0.81250 |-0.15625 | 125.00ps | 0.625V | 119.70ps |
|-0.03125 | 0.78125 |-0.18750 | 125.00ps | 0.563V | 118.59ps |
|-0.03125 | 0.75000 |-0.21875 | 125.00ps | 0.500V | 117.39ps |
|-0.03125 | 0.71875 |-0.25000 | 125.00ps | 0.438V | 115.97ps |
|-0.03125 | 0.68750 |-0.28125 | 125.00ps | 0.375V | 114.02ps |
|-0.03125 | 0.65625 |-0.31250 | 125.00ps | 0.313V | 111.89ps |
|-0.06250 | 0.93750 | 0.00000 | 125.00ps | 0.873V | 123.37ps |
|-0.06250 | 0.90625 |-0.03125 | 125.00ps | 0.813V | 122.59ps |
|-0.06250 | 0.87500 |-0.06250 | 125.00ps | 0.750V | 121.75ps |
|-0.06250 | 0.84375 |-0.09375 | 125.00ps | 0.688V | 120.85ps |
|-0.06250 | 0.81250 |-0.12500 | 125.00ps | 0.625V | 119.89ps |
|-0.06250 | 0.78125 |-0.15625 | 125.00ps | 0.563V | 118.86ps |
|-0.06250 | 0.75000 |-0.18750 | 125.00ps | 0.500V | 117.75ps |
|-0.06250 | 0.71875 |-0.21875 | 125.00ps | 0.438V | 116.55ps |
|-0.06250 | 0.68750 |-0.25000 | 125.00ps | 0.375V | 115.14ps |
|-0.06250 | 0.65625 |-0.28125 | 125.00ps | 0.313V | 113.18ps |
|-0.09375 | 0.90625 | 0.00000 | 125.00ps | 0.811V | 122.48ps |
|-0.09375 | 0.87500 |-0.03125 | 125.00ps | 0.750V | 121.69ps |
|-0.09375 | 0.84375 |-0.06250 | 125.00ps | 0.688V | 120.85ps |
|-0.09375 | 0.81250 |-0.09375 | 125.00ps | 0.625V | 119.96ps |
|-0.09375 | 0.78125 |-0.12500 | 125.00ps | 0.563V | 119.00ps |
|-0.09375 | 0.75000 |-0.15625 | 125.00ps | 0.500V | 117.97ps |
|-0.09375 | 0.71875 |-0.18750 | 125.00ps | 0.438V | 116.86ps |
|-0.09375 | 0.68750 |-0.21875 | 125.00ps | 0.375V | 115.66ps |
|-0.09375 | 0.65625 |-0.25000 | 125.00ps | 0.313V | 114.24ps |
|-0.12500 | 0.87500 | 0.00000 | 125.00ps | 0.748V | 121.52ps |
|-0.12500 | 0.84375 |-0.03125 | 125.00ps | 0.688V | 120.73ps |
|-0.12500 | 0.81250 |-0.06250 | 125.00ps | 0.625V | 119.89ps |
|-0.12500 | 0.78125 |-0.09375 | 125.00ps | 0.563V | 119.00ps |
|-0.12500 | 0.75000 |-0.12500 | 125.00ps | 0.500V | 118.04ps |
|-0.12500 | 0.71875 |-0.15625 | 125.00ps | 0.438V | 117.01ps |
|-0.12500 | 0.68750 |-0.18750 | 125.00ps | 0.375V | 115.90ps |
|-0.12500 | 0.65625 |-0.21875 | 125.00ps | 0.313V | 114.70ps |
|-0.15625 | 0.84375 | 0.00000 | 125.00ps | 0.686V | 120.49ps |
|-0.15625 | 0.81250 |-0.03125 | 125.00ps | 0.625V | 119.70ps |
|-0.15625 | 0.78125 |-0.06250 | 125.00ps | 0.563V | 118.86ps |
|-0.15625 | 0.75000 |-0.09375 | 125.00ps | 0.500V | 117.97ps |
|-0.15625 | 0.71875 |-0.12500 | 125.00ps | 0.438V | 117.01ps |
|-0.15625 | 0.68750 |-0.15625 | 125.00ps | 0.375V | 115.97ps |
|-0.15625 | 0.65625 |-0.18750 | 125.00ps | 0.313V | 114.86ps |
|-0.18750 | 0.81250 | 0.00000 | 125.00ps | 0.623V | 119.38ps |
|-0.18750 | 0.78125 |-0.03125 | 125.00ps | 0.563V | 118.59ps |
|-0.18750 | 0.75000 |-0.06250 | 125.00ps | 0.500V | 117.75ps |
|-0.18750 | 0.71875 |-0.09375 | 125.00ps | 0.438V | 116.86ps |
|-0.18750 | 0.68750 |-0.12500 | 125.00ps | 0.375V | 115.90ps |
|-0.18750 | 0.65625 |-0.15625 | 125.00ps | 0.313V | 114.86ps |
|-----------------------------|------------------------------|
                                                               
